time,building_id,kW
2018-01-23T01:45:00Z,1447,7.09375
2018-01-23T02:00:00Z,1447,7.20703125
2018-01-23T02:15:00Z,1447,7.328125
2018-01-23T02:30:00Z,1447,7.4609375
2018-01-23T02:45:00Z,1447,7.6015625
2018-01-23T03:00:00Z,1447,7.80859375
2018-01-23T03:15:00Z,1447,7.97265625
2018-01-23T03:30:00Z,1447,8.0703125
2018-01-23T03:45:00Z,1447,8.1640625
2018-01-23T04:00:00Z,1447,8.2265625
2018-01-23T04:15:00Z,1447,8.53125
2018-01-23T04:30:00Z,1447,8.84375
2018-01-23T04:45:00Z,1447,9.171875
2018-01-23T05:00:00Z,1447,9.5078125
2018-01-23T05:15:00Z,1447,9.3671875
2018-01-23T05:30:00Z,1447,9.21875
2018-01-23T05:45:00Z,1447,9.0703125
2018-01-23T06:00:00Z,1447,8.9296875
2018-01-23T06:15:00Z,1447,9.0078125
2018-01-23T06:30:00Z,1447,9.078125
2018-01-23T06:45:00Z,1447,9.109375
2018-01-23T07:00:00Z,1447,9.125
2018-01-23T07:15:00Z,1447,9.203125
2018-01-23T07:30:00Z,1447,9.3046875
2018-01-23T07:45:00Z,1447,9.4375
2018-01-23T08:00:00Z,1447,9.6015625
2018-01-23T08:15:00Z,1447,9.71875
2018-01-23T08:30:00Z,1447,9.8125
2018-01-23T08:45:00Z,1447,9.8828125
2018-01-23T09:00:00Z,1447,9.9296875
2018-01-23T09:15:00Z,1447,9.96875
2018-01-23T09:30:00Z,1447,8.390625
2018-01-23T09:45:00Z,1447,8.0234375
2018-01-23T10:00:00Z,1447,7.3828125
2018-01-23T10:15:00Z,1447,6.51171875
2018-01-23T10:30:00Z,1447,5.51953125
2018-01-23T10:45:00Z,1447,4.609375
2018-01-23T11:00:00Z,1447,3.990234375
2018-01-23T11:15:00Z,1447,3.505859375
2018-01-23T11:30:00Z,1447,3.3671875
2018-01-23T11:45:00Z,1447,3.359375
2018-01-23T12:00:00Z,1447,3.203125
2018-01-23T12:15:00Z,1447,3.025390625
2018-01-23T12:30:00Z,1447,4.7109375
2018-01-23T12:45:00Z,1447,4.7265625
2018-01-23T13:00:00Z,1447,4.71484375
2018-01-23T13:15:00Z,1447,4.7109375
2018-01-23T13:30:00Z,1447,4.71484375
2018-01-23T13:45:00Z,1447,4.7265625
2018-01-23T14:00:00Z,1447,4.734375
2018-01-23T14:15:00Z,1447,4.734375
2018-01-23T14:30:00Z,1447,4.734375
2018-01-23T14:45:00Z,1447,4.734375
2018-01-23T15:00:00Z,1447,4.734375
2018-01-23T15:15:00Z,1447,4.734375
2018-01-23T15:30:00Z,1447,4.734375
2018-01-23T15:45:00Z,1447,4.734375
2018-01-23T16:00:00Z,1447,4.734375
2018-01-23T16:15:00Z,1447,4.734375
2018-01-23T16:30:00Z,1447,4.734375
2018-01-23T16:45:00Z,1447,4.73046875
2018-01-23T17:00:00Z,1447,4.7265625
2018-01-23T17:15:00Z,1447,4.7265625
2018-01-23T17:30:00Z,1447,4.73828125
2018-01-23T17:45:00Z,1447,4.75
2018-01-23T18:00:00Z,1447,4.76171875
2018-01-23T18:15:00Z,1447,4.76171875
2018-01-23T18:30:00Z,1447,4.7578125
2018-01-23T18:45:00Z,1447,4.75
2018-01-23T19:00:00Z,1447,4.73828125
2018-01-23T19:15:00Z,1447,4.734375
2018-01-23T19:30:00Z,1447,6.28125
2018-01-23T19:45:00Z,1447,6.28125
2018-01-23T20:00:00Z,1447,6.28125
2018-01-23T20:15:00Z,1447,6.28125
2018-01-23T20:30:00Z,1447,6.34765625
2018-01-23T20:45:00Z,1447,6.51953125
2018-01-23T21:00:00Z,1447,6.59765625
2018-01-23T21:15:00Z,1447,6.61328125
2018-01-23T21:30:00Z,1447,6.73046875
2018-01-23T21:45:00Z,1447,6.75390625
2018-01-23T22:00:00Z,1447,6.65625
2018-01-23T22:15:00Z,1447,6.7421875
2018-01-23T22:30:00Z,1447,5.06640625
2018-01-23T22:45:00Z,1447,5.14453125
2018-01-23T23:00:00Z,1447,5.14453125
2018-01-23T23:15:00Z,1447,5.41796875
2018-01-23T23:30:00Z,1447,5.76171875
2018-01-23T23:45:00Z,1447,6.15625
2018-01-24T00:00:00Z,1447,6.70703125
2018-01-24T00:15:00Z,1447,6.9453125
2018-01-24T00:30:00Z,1447,7.1484375
2018-01-24T00:45:00Z,1447,7.3359375
2018-01-24T01:00:00Z,1447,7.49609375
2018-01-24T01:15:00Z,1447,7.34765625
2018-01-24T01:30:00Z,1447,7.1875
2018-01-24T01:45:00Z,1447,7.01171875
2018-01-24T02:00:00Z,1447,6.82421875
2018-01-24T02:15:00Z,1447,6.9453125
2018-01-24T02:30:00Z,1447,7.06640625
2018-01-24T02:45:00Z,1447,7.19140625
2018-01-24T03:00:00Z,1447,7.3203125
2018-01-24T03:15:00Z,1447,7.66796875
2018-01-24T03:30:00Z,1447,8.0078125
2018-01-24T03:45:00Z,1447,8.3671875
2018-01-24T04:00:00Z,1447,8.7734375
2018-01-24T04:15:00Z,1447,8.609375
2018-01-24T04:30:00Z,1447,8.484375
2018-01-24T04:45:00Z,1447,8.3359375
2018-01-24T05:00:00Z,1447,8.1875
2018-01-24T05:15:00Z,1447,8.265625
2018-01-24T05:30:00Z,1447,8.34375
2018-01-24T05:45:00Z,1447,8.421875
