Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,116.209999,116.250000,114.760002,115.389999,113.158272,1614300
2014-05-28,115.709999,116.860001,115.449997,116.070000,113.825111,1768700
2014-05-29,116.150002,117.120003,115.800003,117.110001,114.845001,1051500
2014-05-30,117.110001,117.430000,116.800003,116.910004,114.648888,2436300
2014-06-02,116.989998,117.029999,115.849998,116.580002,114.325249,958700
2014-06-03,116.000000,117.970001,115.970001,117.879997,115.600098,1903200
2014-06-04,117.570000,118.389999,117.300003,117.779999,115.502037,1128900
2014-06-05,117.910004,119.099998,117.720001,119.000000,116.698456,1607600
2014-06-06,119.260002,120.050003,119.169998,119.809998,117.492775,1405500
2014-06-09,119.860001,120.040001,119.279999,119.580002,117.267212,1238900
2014-06-10,119.080002,119.690002,118.349998,119.290001,116.982834,1100400
2014-06-11,119.099998,120.419998,119.070000,120.209999,117.885048,1980800
2014-06-12,119.639999,120.459999,119.330002,119.849998,117.678848,2049200
2014-06-13,120.000000,120.430000,118.879997,119.160004,117.001350,1248100
2014-06-16,118.949997,119.750000,117.949997,118.690002,116.539879,1844600
2014-06-17,118.190002,119.080002,117.830002,118.639999,116.490768,1742600
2014-06-18,118.779999,119.980003,118.250000,119.900002,117.727951,1363500
2014-06-19,120.000000,120.400002,118.849998,119.709999,117.541389,2151800
2014-06-20,120.000000,120.339996,118.849998,118.940002,116.785332,4956500
2014-06-23,119.129997,119.709999,118.510002,119.099998,116.942451,1408200
2014-06-24,119.129997,119.860001,118.279999,118.559998,116.412216,1460100
2014-06-25,118.110001,119.989998,118.099998,119.139999,116.981720,1514000
2014-06-26,119.320000,119.519997,118.629997,119.300003,117.138824,1426600
2014-06-27,119.099998,119.300003,118.220001,118.300003,116.156944,2758900
2014-06-30,118.199997,118.559998,117.680000,118.000000,115.862335,1603200
2014-07-01,118.449997,119.290001,117.650002,118.959999,116.804970,2316600
2014-07-02,119.050003,119.610001,117.910004,118.050003,115.911469,2137700
2014-07-03,118.440002,120.180000,117.910004,120.110001,117.934143,1423200
2014-07-07,119.750000,120.320000,119.230003,119.720001,117.551216,1550700
2014-07-08,119.459999,119.459999,117.730003,117.989998,115.852539,1531400
2014-07-09,118.019997,118.360001,117.449997,117.839996,115.705269,1232600
2014-07-10,116.610001,117.790001,116.360001,117.150002,115.027763,2760400
2014-07-11,116.970001,118.400002,116.750000,118.269997,116.127472,1013000
2014-07-14,118.900002,119.570000,117.570000,117.800003,115.665985,1482500
2014-07-15,118.000000,118.480003,116.730003,118.000000,115.862335,2688600
2014-07-16,118.309998,120.290001,118.309998,119.220001,117.060249,3131200
2014-07-17,119.480003,120.830002,118.610001,119.019997,116.863876,2713900
2014-07-18,119.239998,121.250000,119.220001,121.000000,118.808022,1863600
2014-07-21,120.459999,122.269997,120.349998,122.139999,119.927361,2499100
2014-07-22,122.440002,124.980003,122.440002,123.059998,120.830681,3822800
2014-07-23,125.610001,127.209999,122.570000,124.000000,121.753662,3889000
2014-07-24,124.930000,125.930000,123.290001,125.510002,123.236305,2570600
2014-07-25,124.300003,125.339996,124.300003,125.070000,122.804276,1069500
2014-07-28,125.089996,125.459999,123.529999,124.379997,122.126801,1650400
2014-07-29,124.489998,124.830002,123.540001,123.540001,121.302002,1424600
2014-07-30,124.410004,125.050003,123.440002,124.709999,122.450806,1602900
2014-07-31,123.620003,124.260002,121.150002,121.500000,119.298950,1986300
2014-08-01,121.089996,122.400002,120.500000,121.379997,119.181129,1391300
2014-08-04,121.419998,121.720001,119.849998,121.379997,119.181129,1132700
2014-08-05,120.830002,121.570000,119.750000,120.120003,117.943962,1280800
2014-08-06,119.470001,120.989998,119.120003,120.160004,117.983246,1054400
2014-08-07,120.599998,120.830002,118.959999,119.529999,117.364632,1098300
2014-08-08,119.480003,121.230003,118.910004,121.160004,118.965103,1229000
2014-08-11,121.709999,122.269997,120.779999,120.919998,118.729462,886600
2014-08-12,120.919998,121.629997,119.870003,120.029999,117.855583,1689900
2014-08-13,120.620003,121.449997,120.589996,121.349998,119.151680,1178700
2014-08-14,121.779999,122.150002,121.320000,121.779999,119.573868,1047300
